0,Goodhue
1,Nourse
2,Arena
3,1st Street
4,Bald Spot
5,Hulings
6,Watson
7,LDC
8,Outside Myers
9,Outside the Rec
10,Davis
11,Library Doors
12,CMC 202
13,Benton
14,Near Boliou
15,Central Park
16,Musser
17,Dining Hall
18,Colwell
19,n/a
20,Leighton
21,Weitz
22,4th Myers Lounge
23,Near the Chapel
24,Outside Cassat
25,Outside Arena
26,Outside Burton
27,Myers 437
28,Goodhue 409
29,Godhue 332
30,Burton 420
31,Burton 315
32,Burton 201
33,Outside CMC
34,Hill of 3 Oaks
35,1st Nourse
36,2nd Musser
37,Library
38,Between Mudd and Nourse
39,Outside Concert Hall
40,Lyman Lake Bridge
41,Musser 226
42,Outside LDC
43,LDC Entrance
44,Burton Dining Hall
45,???
46,Benton Lounge
47,Sayles
48,Burton
49,Burton 326
50,Myers 306
51,Math Skills Center
52,6th Watson
53,3rd Burton
54,1st Burton
55,2nd Cassat
56,CMC
57,Cassat
58,Mini Bald Spot
59,2nd Watson
60,Boliou
61,Outside Watson
62,4th Musser
63,4th Myers
64,Myers
65,Weitz Cinema
66,Outside Myers/Evans
67,Burton 424
68,4th Cassat
69,INCINERATED
70,Watson 210
71,Outside Laird
72,Severance
73,~~~
74,Willis
75,Old Bridge
76,Ice Rink
77,Faculty Club
78,Outside Nourse/Memo
79,Winona Street
80,Jamaica
81,Chapel
82,Olin
83,?
84,Libe
85,Spring Concert
86,Hill of Three Oaks
87,1st and College
88,6th and Winona
89,3rd and College
90,Outside Goodhue
91,Concert Hall
92,Buntrock Commons
93,Enforced
94,Outside Musser
95,Outside Nourse
96,Rec Center
97,Outside West Gym
